Nr,IF,Then,Reference to Step 1,Comments
P1,basic psychological needs [satisfied],thriving,S1,
P2,more internalized and thus autonomous motivations,greater persistence,S2,
P3,more internalized and thus autonomous motivations,greater performance,S2,
P4,more internalized and thus autonomous motivations,greater wellness,S2,
P5,"more controlled motives (i.e., introjection, external regulation)",less positive and sometimes even negative effects on persistence,S2,
P6,"more controlled motives (i.e., introjection, external regulation)",less positive and sometimes even negative effects on performance,S2,
P7,"more controlled motives (i.e., introjection, external regulation)",less positive and sometimes even negative effects on wellness,S2,
P8,Environmental events [occurs],[it is perceived to be variably] autonomy-supportive,S3,
P9,Environmental events [occurs],[it is perceived to be variably] controlling,S3,
P10,the event is perceived to be [more controlling],the more likely it is to decrease autonomy,S3,
P11,the event is perceived to be [more controlling],the more likely it is to decrease intrinsic motivation,S3,
P12,the event is perceived to be [more noncontrolling],increase autonomy,S3,
P13,the event is perceived to be [more noncontrolling],maintain or enhance intrinsic motivation,S3,
P14,the event is perceived to be [more autonomy-supportive],increase autonomy,S3,
P15,the event is perceived to be [more autonomy-supportive],maintain or enhance intrinsic motivation,S3,
P16,Environmental events [occur],[it is perceived to be variably] informational,S4,
P17,the event communicates [more] effectance information,it is [more likely] to increase competence,S4,
P18,the event communicates [more] effectance information,it is [more likely] to increase intrinsic motivation.,S4,
P19,the event communicates [more] ineffectance information,it is [more likely] to decrease competence,S4,
P20,the event communicates [more] ineffectance information,it is [more likely] to decrease intrinsic motivation,S4,
P21,the event communicates [more] ineffectance information,it is [more likely] to increase amotivation,S4,
P22,Environmental events [occur],[it has] a controlling aspect,S5,
P23,Environmental events [occur],[it has] an informational aspect,S5,
P24,Environmental events [occur],[it has] an amotivating aspect,S5,
P25,[each of] three aspects [occur],[these have] a functional significance,S5,
P26,these three aspects [are relatively salient],[this] determines the event’s functional significance,S5,
P27,[event has] functional significance,[it has] effects on psychological needs,S5,
P28,[event has] functional significance,[it has] effects on intrinsic motivation,S5,
P29,[event is] Relatively controlling,[it will] decrease autonomy,S5,
P30,[event is] Relatively controlling,[it will] decrease intrinsic motivation,S5,
P31,[event is] relatively informational,[it will] increase autonomy,S5,
P32,[event is] relatively informational,[it will] increase competence,S5,
P33,[event is] relatively informational,[it will] increase intrinsic motivation,S5,
P34,[event is] relatively amotivating,[it will] decrease competence,S5,
P35,[event is] relatively amotivating,[it will] decrease intrinsic motivation,S5,
P36,Social contexts [are present],[these will] vary regarding how autonomy-supportive they are,S6,
P37,Social contexts [are present],[these will] vary regarding how controlling they are,S6,
P38,Social contexts [are present],[these will] vary regarding how amotivating they are,S6,
P39,[contexts are] Autonomy-supportive,[these will] support autonomy,S6,
P40,[contexts are] Autonomy-supportive,[these will] support competence,S6,
P41,[contexts are] Autonomy-supportive,[these will] support intrinsic motivation,S6,
P42,[contexts are] Controlling,[these will] diminish autonomy,S6,
P43,[contexts are] Controlling,[these will] diminish competence,S6,
P44,[contexts are] Controlling,[these will] diminish intrinsic motivation,S6,
P45,[contexts are] amotivating,[these will] diminish autonomy,S6,
P46,[contexts are] amotivating,[these will] diminish competence,S6,
P47,[contexts are] amotivating,[these will] diminish intrinsic motivation,S6,
P48,Intrapersonal events [occur],[these will] vary regarding how autonomy-supportive they are.,S7,
P49,Intrapersonal events [occur],[these will] vary regarding how controlling they are.,S7,
P50,Intrapersonal events [occur],[these will] vary regarding how amotivating they are.,S7,
P51,Autonomy-supportive internal events [occur],[these will] support autonomy,S7,
P52,Autonomy-supportive internal events [occur],[these will] support competence,S7,
P53,Autonomy-supportive internal events [occur],[these will] support intrinsic motivation,S7,
P54,Controlling [internal events occur],[these will] diminish autonomy,S7,
P55,Controlling [internal events occur],[these will] diminish competence,S7,
P56,Controlling [internal events occur],[these will] diminish intrinsic motivation,S7,
P57,amotivating [internal events occur],[these will] diminish autonomy,S7,
P58,amotivating [internal events occur],[these will] diminish competence,S7,
P59,amotivating [internal events occur],[these will] diminish intrinsic motivation,S7,
P60,autonomy [is satisfied],intrinsic propensities toward growth are maintained and supported,S8,
P61,competence [is satisfied],intrinsic propensities toward growth are maintained and supported,S8,
P62,relatedness [is satisfied],intrinsic propensities toward growth are maintained and supported,S8,
P63,Events [occurs],they first affect psychological needs,S9,
P64,psychological needs [are affected by event],intrinsic motivation [is affected],S9,
P65,external event occurs,perceived control affected (functional significance),S10,
P66,external event occurs,perceived autonomy support affected (functional significance),S10,
P67,external event occurs,perceived competence affected (functional significance),S10,
P68,external event occurs,perceived incompetence affected (functional significance),S10,
P69,event meant to control behavior,autonomy decreases (psychological need),S10,
P70,event meant to support autonomy,autonomy increases (psychological need),S10,
P71,event meant to inform competence,competence increases (psychological need),S10,
P72,event meant to inform incompetence,competence decreases (psychological need),S10,
P73,autonomy decreases,intrinsic motivation decreases,S10,
P74,autonomy increases,intrinsic motivation increases,S10,
P75,competence decreases,intrinsic motivation decreases,S10,
P76,competence increases,intrinsic motivation increases,S10,
P77,autonomy support [occurs],autonomy satisfaction,S12, [note: does revised model supercede this?]
P78,structure [occurs],competence satisfaction,S12, [note: does revised model supercede this?]
P79,involvement [occurs],relatedness satisfaction,S12, [note: does revised model supercede this?]
P80,autonomy support [occurs],autonomy satisfaction,S12,
P81,autonomy support [occurs],structure [occurs],S12,
P82,structure [occurs],autonomy statisfaction,S12,
P83,structure [occurs],competence statisfaction,S12,
P84,autonomy support [occurs],involvement [occurs],S12,
P85,involvement [occurs],autonomy statisfaction,S12,
P86,involvement [occurs],competence statisfaction,S12,
P87,structure [occurs],competence satisfaction,S12,
P88,involvement [occurs],relatedness satisfaction,S12,
P89,structure [occurs] by itself,cannot necessarily [...] facilitate competence satisfaction,S13," [note: inconsistent with the figure. Seems to me like they mean: if structure AND autonomy support occur, then competence satisfaction follows (interaction)]"
P90,involvement [occurs] by itself,cannot necessarily [...] facilitate relatedness satisfaction,S13," [note: inconsistent with the figure. Seems to me like they mean: if structure AND autonomy support occur, then competence satisfaction follows (interaction)]"
P91,structure [is] provided in an autonomy-supportive way,competence [is facilitated],S14,
P92,structure [is] provided in an autonomy-supportive way,autonomy satisfaction [is facilitated],S14,
P93,involvement [is] provided in an autonomy-supportive way,relatedness [is facilitated] and autonomy satisfaction.,S14,
P94,involvement [is] provided in an autonomy-supportive way,autonomy satisfaction [is facilitated],S14,
P95,organismic integration [occurs],humans [...] internalize extrinsic motivations that are endorsed by significant others,S15,
P96,the process of internalization [functions] more versus less effectively,different degrees of internalization [result],S15,
P97,different degrees of internalization [occur],[these] are the basis for regulations that differ in perceived locus of causality,S15,
P98,regulations [...] differ in perceived locus of causality,[they differ in] the extent to which they are autonomous.,S15,
P99,Regulations [are more] integrated,[they] are more fully internalized,S16,
P100,Regulations [are more] integrated,[they] [result in] more autonomous behaviors,S16,
P101,"Supports for the basic needs [occurs (competence, relatedness, and autonomy)] [this facilitates]",internalization of non-intrinsically motivated behaviors,S17,
P102,"Supports for the basic needs [occurs (competence, relatedness, and autonomy)] [this facilitates]",integration of non-intrinsically motivated behaviors,S17,
P103,the context is controlling,internalization [...] will be less likely.,S17,
P104,the context is controlling,identification will be less likely.,S17,
P105,the context is controlling,integrated regulation will be less likely.,S17,
P106,relatedness needs are thwarted,internalization will be less likely.,S17,
P107,relatedness needs are thwarted,identification will be less likely.,S17,
P108,relatedness needs are thwarted,integrated regulation will be less likely.,S17,
P109,cometence needs are thwarted,internalization will be less likely.,S17,
P110,cometence needs are thwarted,identification will be less likely.,S17,
P111,cometence needs are thwarted,integrated regulation will be less likely.,S17,
P112,people’s behavior is regulated through more autonomous forms of internalization,"they will display greater behavioral persistence at activities, especially for more difficult or complex actions",S18,This is an interaction: autonomous internalization X difficulty → behavioral persistence
P113,people’s behavior is regulated through more autonomous forms of internalization,"they will display a higher quality of behavior, especially for more difficult or complex actions",S18,This is an interaction: autonomous internalization X difficulty → behavioral persistence
P114,people’s behavior is regulated through more autonomous forms of internalization,"they will display more effective performance, especially for more difficult or complex actions",S18,This is an interaction: autonomous internalization X difficulty → behavioral persistence
P115,people’s behavior is regulated through more integrated forms of internalization,they will have more positive experiences,S19,
P116,people’s behavior is regulated through more integrated forms of internalization,they will have greater psychological health,S19,
P117,people’s behavior is regulated through more integrated forms of internalization,they will have greater well-being.,S19,
P118,basic psychological needs [are met],the internalization process [is enhanced],S20,
P119,various behavioral regulations [occur],[these] differ in their relative degree of autonomy,S21,
P120,autonomy [occurs],[this] is associated with better functioning,S21,
P121,various behavioral regulations [occur],[this] impacts the quality of experience,S21,
P122,various behavioral regulations [occur],[this] impacts well-being,S21,
P123,behavior is non-self-determined,type of motivation is amotivation,S22,I really don’t understand this Figure
P124,behavior is non-self-determined,regulation type is nonregulation,S22,I really don’t understand this Figure
P125,behavior is non-self-determined,source of causality is external,S22,I really don’t understand this Figure
P126,behavior is non-self-determined,there is no intentionality,S22,I really don’t understand this Figure
P127,behavior is non-self-determined,there is an absence of control,S22,I really don’t understand this Figure
P128,behavior is self-determined,type of motivation is intrinsic,S22,I really don’t understand this Figure
P129,behavior is self-determined,regulation type is intrinsic,S22,I really don’t understand this Figure
P130,behavior is self-determined,source of causality is internal,S22,I really don’t understand this Figure
P131,behavior is self-determined,you do the behavior for the satisfaction and enjoyment of the behavior,S22,I really don’t understand this Figure
P132,behavior is self-determined,motivation is autonomous,S22,I really don’t understand this Figure
P133,"factors in the social environment support people’s psychological needs (relatedness, competence, and autonomy)",[this facilitates] greater internalization,S23,
P134,people have [more] internalized regulations,they engage in the activity [more],S24,
P135,people [are] autonomously motivated for an activity,they engage in the activity [more],S24,
P136,they engage in the activity [more],[this] improves the quality of their performance,S24,
P137,they engage in the activity [more],[this] improves the quality of their experience,S24,
P138,[they experience] more internalization,they engage in activities [less],S24,
P139,[they experience] more controlled motivation,they engage in activities [less],S24,
P140,they engage in activities [less],their performance declines or stops.,S24,
P141,[needs] support [occurs],facilitate[s] the internalization of nonintrinsically motivated behaviors,S25,Why is this an interaction? Need support X nonintrinsical behavior -> internalization? It is equally well explained if need support → internalization but with ceiling effect for behaviors that are intrinsically motivated
P142,needs [are thwarted],[this] interferes with [internalization],S26,
P143,people’s behavior is [more] internalized,people display [more] behavioral persistence,S27,
P144,people’s behavior is regulated [more] autonomously,people display [more] behavioral persistence,S27,
P145,people’s behavior is [more] internalized,people display higher quality behavior,S27,
P146,people’s behavior is regulated [more] autonomously,people display higher quality behavior,S27,
P147,people’s behavior is [more] internalized,people display more effective performances,S27,
P148,people’s behavior is regulated [more] autonomously,people display more effective performances,S27,
P149,people’s behavior is [more] internalized,people display greater psychological health,S27,
P150,people’s behavior is regulated [more] autonomously,people display greater psychological health,S27,
P151,people’s behavior is [more] internalized,people display greater well-being,S27,
